Order Number,Order Date,Delivery Date,CustomerKey,StoreKey,ProductKey,Quantity,Currency Code,Exchange Rate
367018,2016-01-02,,1301565,59,1973,4,USD,1.0
367018,2016-01-02,,1301565,59,731,4,USD,1.0
367019,2016-01-02,,793573,29,1947,2,EUR,0.9185
367019,2016-01-02,,793573,29,1645,7,EUR,0.9185
367019,2016-01-02,,793573,29,371,7,EUR,0.9185
367020,2016-01-02,,799366,29,448,6,EUR,0.9185
367020,2016-01-02,,799366,29,1975,1,EUR,0.9185
367021,2016-01-02,,243917,10,1445,4,CAD,1.3884
367021,2016-01-02,,243917,10,1624,6,CAD,1.3884
367021,2016-01-02,,243917,10,1615,2,CAD,1.3884
367022,2016-01-02,,942807,42,1596,1,GBP,0.6742
367022,2016-01-02,,942807,42,1253,7,GBP,0.6742
367022,2016-01-02,,942807,42,663,3,GBP,0.6742
367022,2016-01-02,,942807,42,1194,6,GBP,0.6742
367023,2016-01-02,,129318,2,1139,5,AUD,1.3683
367023,2016-01-02,,129318,2,1031,2,AUD,1.3683
367024,2016-01-02,,1713253,50,302,8,USD,1.0
367024,2016-01-02,,1713253,50,2105,5,USD,1.0
367025,2016-01-02,,1736623,56,1608,1,USD,1.0
367025,2016-01-02,,1736623,56,1641,2,USD,1.0
367025,2016-01-02,,1736623,56,1574,3,USD,1.0
367026,2016-01-02,,1836599,53,2218,2,USD,1.0
367026,2016-01-02,,1836599,53,78,1,USD,1.0
367027,2016-01-02,,1482586,53,2451,3,USD,1.0
367027,2016-01-02,,1482586,53,1645,1,USD,1.0
367027,2016-01-02,,1482586,53,1728,2,USD,1.0
367028,2016-01-02,2016-01-11,607356,0,976,1,EUR,0.9185
367028,2016-01-02,2016-01-11,607356,0,2017,3,EUR,0.9185
367029,2016-01-02,,1260533,66,1607,1,USD,1.0
367029,2016-01-02,,1260533,66,1223,7,USD,1.0
367030,2016-01-02,,1843882,51,2010,7,USD,1.0
367030,2016-01-02,,1843882,51,426,1,USD,1.0
367031,2016-01-02,2016-01-07,909014,0,120,3,GBP,0.6742
367031,2016-01-02,2016-01-07,909014,0,382,2,GBP,0.6742
367031,2016-01-02,2016-01-07,909014,0,1722,3,GBP,0.6742
367031,2016-01-02,2016-01-07,909014,0,132,1,GBP,0.6742
368000,2016-01-03,,892838,32,1440,1,EUR,0.9185
368001,2016-01-03,,1670789,64,1598,3,USD,1.0
369000,2016-01-04,,1143828,37,2167,9,GBP,0.6773
369000,2016-01-04,,1143828,37,167,1,GBP,0.6773
369001,2016-01-04,,269337,8,1301,1,CAD,1.3922
369001,2016-01-04,,269337,8,1649,4,CAD,1.3922
369002,2016-01-04,,258316,8,1656,1,CAD,1.3922
369004,2016-01-04,,1389462,65,1961,5,USD,1.0
369004,2016-01-04,,1389462,65,1991,3,USD,1.0
369005,2016-01-04,,1866637,56,183,3,USD,1.0
369006,2016-01-04,,734605,28,654,1,EUR,0.9176
369007,2016-01-04,,571622,20,2510,3,EUR,0.9176
369007,2016-01-04,,571622,20,2103,1,EUR,0.9176
369007,2016-01-04,,571622,20,1578,3,EUR,0.9176
369011,2016-01-04,2016-01-09,1664824,0,1261,2,USD,1.0
369012,2016-01-04,2016-01-13,1696695,0,1423,3,USD,1.0
369012,2016-01-04,2016-01-13,1696695,0,1656,1,USD,1.0
369012,2016-01-04,2016-01-13,1696695,0,1660,2,USD,1.0
369012,2016-01-04,2016-01-13,1696695,0,1610,6,USD,1.0
370000,2016-01-05,,2032025,51,1360,4,USD,1.0
370000,2016-01-05,,2032025,51,1158,4,USD,1.0
370000,2016-01-05,,2032025,51,457,2,USD,1.0
370001,2016-01-05,,1884908,61,1107,3,USD,1.0
370001,2016-01-05,,1884908,61,1591,3,USD,1.0
370001,2016-01-05,,1884908,61,1544,7,USD,1.0
370003,2016-01-05,,2092033,66,836,8,USD,1.0
370003,2016-01-05,,2092033,66,1529,3,USD,1.0
370004,2016-01-05,,1473090,43,1251,2,USD,1.0
370005,2016-01-05,,584095,24,1610,2,EUR,0.9306
370005,2016-01-05,,584095,24,1594,4,EUR,0.9306
370006,2016-01-05,,661636,16,1272,6,EUR,0.9306
370007,2016-01-05,,623659,15,267,1,EUR,0.9306
370007,2016-01-05,,623659,15,126,7,EUR,0.9306
370008,2016-01-05,,183264,4,2105,1,AUD,1.3942
370010,2016-01-05,,1393738,48,1709,3,USD,1.0
370010,2016-01-05,,1393738,48,2113,10,USD,1.0
370010,2016-01-05,,1393738,48,2088,2,USD,1.0
370011,2016-01-05,,1522590,47,32,2,USD,1.0
370012,2016-01-05,,1780669,53,1585,3,USD,1.0
370012,2016-01-05,,1780669,53,1689,2,USD,1.0
370013,2016-01-05,,5097,6,5,2,AUD,1.3942
370014,2016-01-05,,1475886,51,1622,2,USD,1.0
370014,2016-01-05,,1475886,51,2110,1,USD,1.0
370014,2016-01-05,,1475886,51,1694,2,USD,1.0
371000,2016-01-06,,728834,30,81,2,EUR,0.9309
371001,2016-01-06,,76021,2,77,3,AUD,1.4138
371001,2016-01-06,,76021,2,945,2,AUD,1.4138
371001,2016-01-06,,76021,2,1033,1,AUD,1.4138
371001,2016-01-06,,76021,2,1581,5,AUD,1.4138
371002,2016-01-06,,1955971,53,80,4,USD,1.0
371002,2016-01-06,,1955971,53,2171,3,USD,1.0
371003,2016-01-06,,778259,28,1074,6,EUR,0.9309
371003,2016-01-06,,778259,28,127,2,EUR,0.9309
371003,2016-01-06,,778259,28,333,5,EUR,0.9309
371003,2016-01-06,,778259,28,1627,4,EUR,0.9309
371003,2016-01-06,,778259,28,64,1,EUR,0.9309
371003,2016-01-06,,778259,28,1997,3,EUR,0.9309
371004,2016-01-06,2016-01-14,1378439,0,1305,8,USD,1.0
371005,2016-01-06,,1923558,48,58,1,USD,1.0
371005,2016-01-06,,1923558,48,32,7,USD,1.0
371006,2016-01-06,2016-01-15,1501383,0,1279,1,USD,1.0
371007,2016-01-06,2016-01-18,1378439,0,1639,1,USD,1.0
371008,2016-01-06,,2053617,50,961,1,USD,1.0
371008,2016-01-06,,2053617,50,1626,7,USD,1.0
371010,2016-01-06,,1716584,53,2491,5,USD,1.0
371010,2016-01-06,,1716584,53,1631,7,USD,1.0
371011,2016-01-06,2016-01-14,776266,0,458,5,EUR,0.9309
371011,2016-01-06,2016-01-14,776266,0,1573,3,EUR,0.9309
371011,2016-01-06,2016-01-14,776266,0,32,5,EUR,0.9309
371012,2016-01-06,,363872,8,147,1,CAD,1.4091
371012,2016-01-06,,363872,8,1576,1,CAD,1.4091
371012,2016-01-06,,363872,8,1642,3,CAD,1.4091
371014,2016-01-06,,1161615,40,89,4,GBP,0.6837
371014,2016-01-06,,1161615,40,337,3,GBP,0.6837
371015,2016-01-06,2016-01-14,1669745,0,1679,5,USD,1.0
371015,2016-01-06,2016-01-14,1669745,0,1659,1,USD,1.0
371015,2016-01-06,2016-01-14,1669745,0,1228,1,USD,1.0
371015,2016-01-06,2016-01-14,1669745,0,1458,4,USD,1.0
371016,2016-01-06,,879778,32,1704,2,EUR,0.9309
371017,2016-01-06,,1918687,61,2084,5,USD,1.0
371017,2016-01-06,,1918687,61,2365,1,USD,1.0
371018,2016-01-06,,1041466,36,534,1,GBP,0.6837
371018,2016-01-06,,1041466,36,1667,7,GBP,0.6837
371018,2016-01-06,,1041466,36,1212,7,GBP,0.6837
371018,2016-01-06,,1041466,36,2496,1,GBP,0.6837
371018,2016-01-06,,1041466,36,1200,2,GBP,0.6837
371018,2016-01-06,,1041466,36,1333,2,GBP,0.6837
371018,2016-01-06,,1041466,36,2124,1,GBP,0.6837
371019,2016-01-06,,916074,41,2506,2,GBP,0.6837
371019,2016-01-06,,916074,41,1590,1,GBP,0.6837
371019,2016-01-06,,916074,41,1615,2,GBP,0.6837
371019,2016-01-06,,916074,41,2093,2,GBP,0.6837
372000,2016-01-07,2016-01-22,1413890,0,148,3,USD,1.0
372000,2016-01-07,2016-01-22,1413890,0,1620,1,USD,1.0
372000,2016-01-07,2016-01-22,1413890,0,825,3,USD,1.0
372001,2016-01-07,,1412534,63,1286,1,USD,1.0
372001,2016-01-07,,1412534,63,1669,3,USD,1.0
372002,2016-01-07,,1718240,47,1299,7,USD,1.0
372003,2016-01-07,,527409,19,1604,3,EUR,0.9201
372003,2016-01-07,,527409,19,141,4,EUR,0.9201
372003,2016-01-07,,527409,19,83,2,EUR,0.9201
372004,2016-01-07,,711449,30,922,9,EUR,0.9201
372005,2016-01-07,,302130,9,411,3,CAD,1.4133
372005,2016-01-07,,302130,9,75,4,CAD,1.4133
372005,2016-01-07,,302130,9,1620,3,CAD,1.4133
372005,2016-01-07,,302130,9,2366,5,CAD,1.4133
372005,2016-01-07,,302130,9,1652,8,CAD,1.4133
372005,2016-01-07,,302130,9,1614,8,CAD,1.4133
372006,2016-01-07,2016-01-15,2095742,0,125,2,USD,1.0
372007,2016-01-07,,1982994,61,1148,4,USD,1.0
372008,2016-01-07,,1214363,53,183,1,USD,1.0
372008,2016-01-07,,1214363,53,1665,1,USD,1.0
372010,2016-01-07,,784075,29,90,7,EUR,0.9201
372011,2016-01-07,,739625,29,1572,1,EUR,0.9201
372012,2016-01-07,,195521,6,468,1,AUD,1.4308
372012,2016-01-07,,195521,6,1560,6,AUD,1.4308
372012,2016-01-07,,195521,6,1094,2,AUD,1.4308
372012,2016-01-07,,195521,6,171,4,AUD,1.4308
372012,2016-01-07,,195521,6,2265,2,AUD,1.4308
372013,2016-01-07,,1042966,38,1259,2,GBP,0.6859
372016,2016-01-07,,1170323,42,1581,2,GBP,0.6859
372016,2016-01-07,,1170323,42,6,3,GBP,0.6859
373000,2016-01-08,2016-01-14,1367439,0,2509,3,USD,1.0
373000,2016-01-08,2016-01-14,1367439,0,716,3,USD,1.0
373002,2016-01-08,,1750554,48,1859,5,USD,1.0
373003,2016-01-08,,2082534,56,67,3,USD,1.0
373004,2016-01-08,,460587,24,1765,3,EUR,0.9207
373005,2016-01-08,,1763365,65,342,2,USD,1.0
373005,2016-01-08,,1763365,65,1073,1,USD,1.0
373007,2016-01-08,2016-01-14,351747,0,103,2,CAD,1.4106
373007,2016-01-08,2016-01-14,351747,0,1455,5,CAD,1.4106
373007,2016-01-08,2016-01-14,351747,0,1902,2,CAD,1.4106
373008,2016-01-08,,536845,23,535,3,EUR,0.9207
373008,2016-01-08,,536845,23,2089,3,EUR,0.9207
373008,2016-01-08,,536845,23,1612,3,EUR,0.9207
373008,2016-01-08,,536845,23,65,2,EUR,0.9207
373009,2016-01-08,2016-01-19,1064519,0,1589,4,GBP,0.6861
373010,2016-01-08,,538801,27,2492,6,EUR,0.9207
373010,2016-01-08,,538801,27,2288,8,EUR,0.9207
373010,2016-01-08,,538801,27,56,2,EUR,0.9207
373011,2016-01-08,,82415,4,440,2,AUD,1.4267
374000,2016-01-09,,1971983,48,737,5,USD,1.0
374000,2016-01-09,,1971983,48,1735,3,USD,1.0
374000,2016-01-09,,1971983,48,103,3,USD,1.0
374000,2016-01-09,,1971983,48,81,2,USD,1.0
374000,2016-01-09,,1971983,48,1624,1,USD,1.0
374001,2016-01-09,,2050933,47,1429,1,USD,1.0
374001,2016-01-09,,2050933,47,545,1,USD,1.0
374002,2016-01-09,,320030,8,1991,8,CAD,1.4106
374002,2016-01-09,,320030,8,1667,8,CAD,1.4106
374002,2016-01-09,,320030,8,2098,3,CAD,1.4106
374002,2016-01-09,,320030,8,1695,1,CAD,1.4106
374003,2016-01-09,,1188400,38,1606,1,GBP,0.6861
374005,2016-01-09,,239647,8,1197,2,CAD,1.4106
374006,2016-01-09,,1387959,65,1622,6,USD,1.0
374007,2016-01-09,,800548,31,1631,3,EUR,0.9207
374008,2016-01-09,,789641,29,1217,4,EUR,0.9207
374009,2016-01-09,,728541,30,538,3,EUR,0.9207
374010,2016-01-09,,665776,12,1632,3,EUR,0.9207
374010,2016-01-09,,665776,12,1048,1,EUR,0.9207
374010,2016-01-09,,665776,12,1681,7,EUR,0.9207
374010,2016-01-09,,665776,12,2104,4,EUR,0.9207
374010,2016-01-09,,665776,12,1673,2,EUR,0.9207
374010,2016-01-09,,665776,12,1206,2,EUR,0.9207
374010,2016-01-09,,665776,12,961,5,EUR,0.9207
374011,2016-01-09,,174622,5,1256,8,AUD,1.4267
374012,2016-01-09,2016-01-20,1758208,0,1280,1,USD,1.0
374012,2016-01-09,2016-01-20,1758208,0,1276,1,USD,1.0
374012,2016-01-09,2016-01-20,1758208,0,2454,5,USD,1.0
374012,2016-01-09,2016-01-20,1758208,0,2108,1,USD,1.0
374013,2016-01-09,,733080,29,533,5,EUR,0.9207
374013,2016-01-09,,733080,29,1067,10,EUR,0.9207
374013,2016-01-09,,733080,29,1577,6,EUR,0.9207
374015,2016-01-09,,1451748,55,107,7,USD,1.0
374016,2016-01-09,,1535357,45,9,5,USD,1.0
374017,2016-01-09,,1558964,63,1630,1,USD,1.0
374018,2016-01-09,,1010049,38,1615,5,GBP,0.6861
374018,2016-01-09,,1010049,38,2075,2,GBP,0.6861
374019,2016-01-09,,193216,6,1109,3,AUD,1.4267
375000,2016-01-10,2016-01-18,1084570,0,1636,1,GBP,0.6861
375000,2016-01-10,2016-01-18,1084570,0,88,7,GBP,0.6861
375000,2016-01-10,2016-01-18,1084570,0,2515,1,GBP,0.6861
376000,2016-01-11,,1862500,43,69,1,USD,1.0
376001,2016-01-11,,813685,32,131,1,EUR,0.9184
376001,2016-01-11,,813685,32,1604,1,EUR,0.9184
376003,2016-01-11,,797322,30,425,3,EUR,0.9184
376003,2016-01-11,,797322,30,2112,4,EUR,0.9184
376003,2016-01-11,,797322,30,1297,1,EUR,0.9184
376003,2016-01-11,,797322,30,1806,2,EUR,0.9184
376004,2016-01-11,,1905050,45,1635,6,USD,1.0
376005,2016-01-11,,305321,8,1352,3,CAD,1.4085
376005,2016-01-11,,305321,8,2114,3,CAD,1.4085
376005,2016-01-11,,305321,8,418,2,CAD,1.4085
376005,2016-01-11,,305321,8,2096,3,CAD,1.4085
377000,2016-01-12,,1589958,64,1625,6,USD,1.0
377000,2016-01-12,,1589958,64,1730,4,USD,1.0
377000,2016-01-12,,1589958,64,681,2,USD,1.0
377000,2016-01-12,,1589958,64,1675,7,USD,1.0
377000,2016-01-12,,1589958,64,422,2,USD,1.0
377002,2016-01-12,,1897822,50,1612,1,USD,1.0
377002,2016-01-12,,1897822,50,858,1,USD,1.0
377002,2016-01-12,,1897822,50,1595,2,USD,1.0
377003,2016-01-12,,1129200,40,1942,6,GBP,0.6929
377004,2016-01-12,,1136143,42,460,4,GBP,0.6929
377004,2016-01-12,,1136143,42,740,3,GBP,0.6929
377005,2016-01-12,,1022980,37,1634,1,GBP,0.6929
377006,2016-01-12,2016-01-20,934781,0,1432,1,GBP,0.6929
377006,2016-01-12,2016-01-20,934781,0,1580,1,GBP,0.6929
377006,2016-01-12,2016-01-20,934781,0,1462,1,GBP,0.6929
377006,2016-01-12,2016-01-20,934781,0,1936,1,GBP,0.6929
377006,2016-01-12,2016-01-20,934781,0,1007,1,GBP,0.6929
377006,2016-01-12,2016-01-20,934781,0,320,1,GBP,0.6929
377007,2016-01-12,,86126,6,1665,1,AUD,1.4267
377007,2016-01-12,,86126,6,446,3,AUD,1.4267
377007,2016-01-12,,86126,6,1176,4,AUD,1.4267
378000,2016-01-13,,1062632,37,170,1,GBP,0.6936
378000,2016-01-13,,1062632,37,1646,10,GBP,0.6936
378000,2016-01-13,,1062632,37,1572,1,GBP,0.6936
378001,2016-01-13,,1976355,66,2467,3,USD,1.0
378001,2016-01-13,,1976355,66,1696,2,USD,1.0
378002,2016-01-13,,1599716,45,1578,1,USD,1.0
378002,2016-01-13,,1599716,45,1304,1,USD,1.0
378003,2016-01-13,,774742,29,1609,1,EUR,0.9246
378003,2016-01-13,,774742,29,2128,8,EUR,0.9246
378003,2016-01-13,,774742,29,1649,5,EUR,0.9246
378004,2016-01-13,,368190,8,2504,1,CAD,1.4221
378004,2016-01-13,,368190,8,1646,7,CAD,1.4221
378005,2016-01-13,,1470803,44,137,9,USD,1.0
378005,2016-01-13,,1470803,44,2090,2,USD,1.0
378005,2016-01-13,,1470803,44,2068,2,USD,1.0
378005,2016-01-13,,1470803,44,125,4,USD,1.0
378005,2016-01-13,,1470803,44,137,3,USD,1.0
378005,2016-01-13,,1470803,44,376,1,USD,1.0
378005,2016-01-13,,1470803,44,178,5,USD,1.0
378006,2016-01-13,,917347,38,1266,7,GBP,0.6936
378006,2016-01-13,,917347,38,1621,2,GBP,0.6936
378007,2016-01-13,,707089,30,1582,1,EUR,0.9246
378007,2016-01-13,,707089,30,1634,6,EUR,0.9246
378007,2016-01-13,,707089,30,424,4,EUR,0.9246
378008,2016-01-13,,1035789,39,1619,2,GBP,0.6936
378009,2016-01-13,,270736,8,336,3,CAD,1.4221
378009,2016-01-13,,270736,8,2383,1,CAD,1.4221
378009,2016-01-13,,270736,8,2248,5,CAD,1.4221
378010,2016-01-13,,437389,19,145,3,EUR,0.9246
378010,2016-01-13,,437389,19,2387,7,EUR,0.9246
379000,2016-01-14,,1171088,39,443,4,GBP,0.695
379001,2016-01-14,,1165542,40,1253,1,GBP,0.695
379001,2016-01-14,,1165542,40,1695,8,GBP,0.695
379001,2016-01-14,,1165542,40,1038,8,GBP,0.695
379001,2016-01-14,,1165542,40,1597,1,GBP,0.695
379001,2016-01-14,,1165542,40,1589,2,GBP,0.695
379001,2016-01-14,,1165542,40,1182,5,GBP,0.695
379002,2016-01-14,2016-01-24,716015,0,106,2,EUR,0.918
379002,2016-01-14,2016-01-24,716015,0,386,2,EUR,0.918
379002,2016-01-14,2016-01-24,716015,0,1654,3,EUR,0.918
379004,2016-01-14,2016-01-27,245912,0,321,2,CAD,1.4364
379005,2016-01-14,,1104029,37,1766,4,GBP,0.695
379005,2016-01-14,,1104029,37,1558,3,GBP,0.695
379005,2016-01-14,,1104029,37,1969,3,GBP,0.695
379005,2016-01-14,,1104029,37,1453,4,GBP,0.695
379008,2016-01-14,,793968,30,76,3,EUR,0.918
379008,2016-01-14,,793968,30,1648,1,EUR,0.918
379009,2016-01-14,,1556602,61,375,4,USD,1.0
379009,2016-01-14,,1556602,61,651,3,USD,1.0
379011,2016-01-14,,1291414,48,1280,3,USD,1.0
379011,2016-01-14,,1291414,48,1292,1,USD,1.0
379011,2016-01-14,,1291414,48,1620,4,USD,1.0
380000,2016-01-15,,1614172,57,1676,3,USD,1.0
380000,2016-01-15,,1614172,57,2094,5,USD,1.0
380001,2016-01-15,,1530756,66,641,3,USD,1.0
380001,2016-01-15,,1530756,66,1069,3,USD,1.0
380001,2016-01-15,,1530756,66,1687,3,USD,1.0
380003,2016-01-15,,627789,17,172,3,EUR,0.9163
380004,2016-01-15,,1909649,66,1114,1,USD,1.0
380004,2016-01-15,,1909649,66,272,1,USD,1.0
380004,2016-01-15,,1909649,66,1697,2,USD,1.0
380005,2016-01-15,,770856,30,1705,2,EUR,0.9163
380005,2016-01-15,,770856,30,154,7,EUR,0.9163
380006,2016-01-15,,549983,27,1969,7,EUR,0.9163
381001,2016-01-16,,780974,29,2397,3,EUR,0.9163
381001,2016-01-16,,780974,29,2398,1,EUR,0.9163
381002,2016-01-16,2016-01-26,2042097,0,1283,1,USD,1.0
381002,2016-01-16,2016-01-26,2042097,0,1345,1,USD,1.0
381002,2016-01-16,2016-01-26,2042097,0,2510,2,USD,1.0
381003,2016-01-16,,1631876,61,1619,6,USD,1.0
381003,2016-01-16,,1631876,61,2079,1,USD,1.0
381004,2016-01-16,,1914255,53,960,2,USD,1.0
381004,2016-01-16,,1914255,53,143,4,USD,1.0
381005,2016-01-16,,1803346,50,1946,10,USD,1.0
381006,2016-01-16,,1364334,64,1029,1,USD,1.0
381007,2016-01-16,,1202659,48,1246,1,USD,1.0
381007,2016-01-16,,1202659,48,97,2,USD,1.0
381007,2016-01-16,,1202659,48,1590,6,USD,1.0
381007,2016-01-16,,1202659,48,1779,7,USD,1.0
381008,2016-01-16,,982850,42,1707,2,GBP,0.6977
381009,2016-01-16,,1187611,42,2086,4,GBP,0.6977
381010,2016-01-16,,1554137,66,1671,3,USD,1.0
381010,2016-01-16,,1554137,66,1604,1,USD,1.0
381010,2016-01-16,,1554137,66,1836,1,USD,1.0
381011,2016-01-16,,1302333,45,450,1,USD,1.0
381012,2016-01-16,2016-01-23,2072376,0,1759,2,USD,1.0
381012,2016-01-16,2016-01-23,2072376,0,1684,7,USD,1.0
381013,2016-01-16,2016-01-21,1984685,0,1583,1,USD,1.0
381013,2016-01-16,2016-01-21,1984685,0,584,8,USD,1.0
383000,2016-01-18,,1768548,51,1623,3,USD,1.0
383001,2016-01-18,,1584109,61,994,1,USD,1.0
383002,2016-01-18,,1650783,57,1145,1,USD,1.0
383002,2016-01-18,,1650783,57,75,2,USD,1.0
383002,2016-01-18,,1650783,57,775,1,USD,1.0
383003,2016-01-18,,568160,19,959,3,EUR,0.9181
383004,2016-01-18,,1670107,59,1248,3,USD,1.0
383004,2016-01-18,,1670107,59,2500,1,USD,1.0
383004,2016-01-18,,1670107,59,185,3,USD,1.0
384000,2016-01-19,,622740,17,144,5,EUR,0.9201
384000,2016-01-19,,622740,17,78,4,EUR,0.9201
384000,2016-01-19,,622740,17,1825,1,EUR,0.9201
384001,2016-01-19,,780674,29,301,2,EUR,0.9201
384001,2016-01-19,,780674,29,1695,2,EUR,0.9201
384002,2016-01-19,,1263974,43,61,2,USD,1.0
384002,2016-01-19,,1263974,43,2105,1,USD,1.0
384003,2016-01-19,,1369624,64,420,4,USD,1.0
384004,2016-01-19,2016-01-28,1316297,0,1150,2,USD,1.0
384004,2016-01-19,2016-01-28,1316297,0,1578,6,USD,1.0
384005,2016-01-19,,1022895,37,1597,4,GBP,0.7037
384006,2016-01-19,,247132,9,752,1,CAD,1.4492
384006,2016-01-19,,247132,9,434,1,CAD,1.4492
384006,2016-01-19,,247132,9,124,8,CAD,1.4492
384006,2016-01-19,,247132,9,2382,1,CAD,1.4492
384007,2016-01-19,,14180,6,494,3,AUD,1.4421
384007,2016-01-19,,14180,6,1633,2,AUD,1.4421
385000,2016-01-20,2016-01-25,1110691,0,1586,8,GBP,0.706
385000,2016-01-20,2016-01-25,1110691,0,1427,5,GBP,0.706
385000,2016-01-20,2016-01-25,1110691,0,166,3,GBP,0.706
385002,2016-01-20,,844832,31,424,2,EUR,0.9168
385002,2016-01-20,,844832,31,53,2,EUR,0.9168
385003,2016-01-20,,624165,18,1928,3,EUR,0.9168
385004,2016-01-20,,332332,8,2162,1,CAD,1.4637
385005,2016-01-20,,1251726,57,2120,3,USD,1.0
385006,2016-01-20,,724534,28,135,4,EUR,0.9168
385006,2016-01-20,,724534,28,1155,1,EUR,0.9168
385007,2016-01-20,,1273837,61,1112,8,USD,1.0
385008,2016-01-20,,667318,16,1195,1,EUR,0.9168
385009,2016-01-20,,1720050,61,6,1,USD,1.0
385009,2016-01-20,,1720050,61,123,5,USD,1.0
385010,2016-01-20,,483118,20,61,6,EUR,0.9168
385010,2016-01-20,,483118,20,1000,3,EUR,0.9168
386000,2016-01-21,,748749,30,443,2,EUR,0.918
386000,2016-01-21,,748749,30,434,2,EUR,0.918
386000,2016-01-21,,748749,30,167,1,EUR,0.918
386000,2016-01-21,,748749,30,516,1,EUR,0.918
386001,2016-01-21,2016-01-30,1912666,0,1996,2,USD,1.0
386001,2016-01-21,2016-01-30,1912666,0,1577,1,USD,1.0
386002,2016-01-21,,1525000,43,581,3,USD,1.0
386003,2016-01-21,,265825,8,1646,1,CAD,1.4459
386004,2016-01-21,,2085055,45,1222,3,USD,1.0
386005,2016-01-21,2016-02-02,345812,0,1600,1,CAD,1.4459
386005,2016-01-21,2016-02-02,345812,0,237,1,CAD,1.4459
386006,2016-01-21,,348548,10,1271,2,CAD,1.4459
386006,2016-01-21,,348548,10,1585,1,CAD,1.4459
386006,2016-01-21,,348548,10,1637,3,CAD,1.4459
386006,2016-01-21,,348548,10,1587,1,CAD,1.4459
